job_title,company_name,location,duration,job_type,job_status,level,years_of_experience,skills_required
Financial Data Analyst,ECC Group,"Nasr City, Cairo, Egypt",4 days ago,Full Time,On-site,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · Education/Teaching · Data · CFA · Analyst · Finance
Manager - Data Intelligence Analyst,Almosafer,"Mohandessin, Giza, Egypt",6 days ago,Full Time,On-site,Manager, 5 - 8 ,Manager · 5 - 8 Yrs of Exp · Analyst/Research · Tourism/Travel · Power BI · Quicksight · Tableau · Genesys · LiveEngage · Data Analytics · SQL · Microsoft Office
Supply Chain Data Analyst,ZeroCarbon,"Cairo, Egypt",7 days ago,Full Time,On-site,Experienced, 2 - 3 ,Experienced · 2 - 3 Yrs of Exp · Logistics/Supply Chain · Analyst/Research · business · Data Analysis · Supply Chain · Analysis · ERP · SAP · Supply · Management
Data Analyst,Specialized Seamless Services,"Heliopolis, Cairo, Egypt",3 days ago,Full Time,On-site,Entry Level, 2 - 4 ,Entry Level · 2 - 4 Yrs of Exp · Administration · Analyst/Research · Microsoft Office · Data Entry · Microsoft Excel
Data Analyst,Venus Hiring,"Toronto, Canada",13 days ago,Full Time,On-site,Entry Level, 1 - 5 ,Entry Level · 1 - 5 Yrs of Exp · Analyst/Research · Engineering - Telecom/Technology · Data · Data Analyst · Analysis · analytical · Computer Science · Data Analysis · Information Technology (IT) · SQL
Senior Data Analyst,Mobility Pro DMCC,"Azarita, Alexandria, Egypt",7 days ago,Full Time,On-site,Experienced, 5+ ,Experienced · 5+ Yrs of Exp · IT/Software Development · Analyst/Research · Data Analysis · Data Science · Microsoft Excel · Power BI · SQL · Python · Statistics · Machine Learning
Data Analyst,Confidential,"Bourj Alarab, Alexandria, Egypt",12 days ago,Full Time,On-site,Entry Level, 2 - 3 ,Entry Level · 2 - 3 Yrs of Exp · males_only · Logistics/Supply Chain · analytical · Data · Statistics · business · Computer Science
Data Analyst,Confidential,"New Cairo, Cairo, Egypt",13 days ago,Full Time,On-site,Experienced, 2 - 5 ,Experienced · 2 - 5 Yrs of Exp · Administration · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Data · Data Entry · Data Mining · Database · Engineering · Information Technology (IT)
Data Analyst Manager,WUZZUF,"Maadi, Cairo, Egypt",17 days ago,Full Time,Hybrid,Manager, 7 - 15 ,Manager · 7 - 15 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Computer Engineering · Computer Science · Data Analysis · Engineering · Microsoft Excel
Data Analyst,London International Patient Services,"Heliopolis, Cairo, Egypt",19 days ago,Full Time,Hybrid,Experienced, 2 - 3 ,Experienced · 2 - 3 Yrs of Exp · Business Development · IT/Software Development · Analysis · Computer Science · Data Analysis · BI · Power BI · Python · SQL · Information Technology (IT)
Commercial Specialist ( Junior Data Analyst ),realme,"Nasr City, Cairo, Egypt",20 days ago,Full Time,On-site,Entry Level, 1+ ,Entry Level · 1+ Yrs of Exp · Business Development · Analyst/Research · Sales/Retail · Statistics · Sales · Analysis · Business Analysis · Market Research · Research · Finance
Junior Data Analyst,Confidential,"Cairo, Egypt",21 days ago,Full Time,On-site,Experienced, 2 - 4 ,Experienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analyzing · Computer Science · Analysis · Data · Data Analysis · Engineering · Information Technology (IT)
Data Analyst,Dayra Market,"Maadi, Cairo, Egypt",23 days ago,Full Time,On-site,Experienced, 1 - 7 ,Experienced · 1 - 7 Yrs of Exp · Analyst/Research · Analysis · business · Computer Science · Data Analysis · Research
Senior Data Analyst,British University of Egypt,"Shorouk City, Cairo, Egypt",26 days ago,Full Time,On-site,Experienced, 5 - 7 ,Experienced · 5 - 7 Yrs of Exp · Analyst/Research · Analysis · BI · Data Analysis · Data · Microsoft Excel
Data Analyst,Luminar,"New Cairo, Cairo, Egypt",28 days ago,Full Time,Remote,Experienced, 2 - 5 ,Experienced · 2 - 5 Yrs of Exp · Analyst/Research · Engineering - Telecom/Technology · Analysis · Analyst · Computer Science · Data Analysis · Data Analyst · Data · Information Technology (IT) · Tableau
Data Analyst/ Mailer,Options,"Mohandessin, Giza, Egypt",1 month ago,Full Time,Remote,Experienced, 1 - 5 ,Experienced · 1 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Analyst · Communication · English · Data Analyst · Data Analysis · Data
Financial Analyst ( Costing Background),Cairo Three A  for Agricultural and Animal Production,"New Cairo, Cairo, Egypt",6 hours ago,Full Time,On-site,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Data Analysis · Accounting · Cost · Finance · Financial · Communication · Analysis · Financial Modeling
Market Research Analyst,Confidential,"Heliopolis, Cairo, Egypt",13 days ago,Full Time,On-site,Experienced, 6 - 8 ,Experienced · 6 - 8 Yrs of Exp · Analyst/Research · Analysis · analytical · Communication · Data Collection · Market Research · Presentation · Research · Statistics · Social Media
Business Analyst,Babeleye,"Maadi, Cairo, Egypt",17 days ago,Full Time,Hybrid,Experienced, 2 - 4 ,Experienced · 2 - 4 Yrs of Exp · Analyst/Research · Analysis · Data · Business Analysis · Business Informatics
Financial Analyst,Confidential,"Cairo, Egypt",21 days ago,Full Time,On-site,Experienced, 3 - 7 ,Experienced · 3 - 7 Yrs of Exp · males_only · Accounting/Finance · Banking · Analyst/Research · Accounting · Commerce · Analyst · Analysis · Finance · Financial Analysis · Planning
Data Analyst,Al Ateeq Software,"Heliopolis, Cairo, Egypt",1 month ago,Full Time,On-site,Experienced, 5 - 9 ,Experienced · 5 - 9 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data Analyst · Information Technology (IT) · Analysis · Data
Data Analyst,Cairo Three A  Poultry,"New Cairo, Cairo, Egypt",1 month ago,Full Time,On-site,Experienced, 2 - 3 ,Experienced · 2 - 3 Yrs of Exp · Logistics/Supply Chain · Analysis · analytical · Data Analyst · Computer Science · Statistics
Operation Analyst,Etisal EG,"New Cairo, Cairo, Egypt",27 days ago,Full Time,On-site,Experienced, 2 - 3 ,Experienced · 2 - 3 Yrs of Exp · Business Development · Data Analysis · analytical · Operations
Financial Analyst / Reporting,Go Bus,"Katameya, Cairo, Egypt",4 days ago,Full Time,On-site,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Financial Accounting · Financial Analysis · Transportation · finance
